datetime,open,high,low,close,volume,ATR,trade_type,signals
2018-05-24 05:30:00,7501.95,7730.73,7266.99,7575.01,37845.446595,465.4901588545969,HOLD,0
2018-05-25 05:30:00,7578.99,7649.55,7308.15,7457.0,26739.95664,456.6265760792686,HOLD,0
2018-05-26 05:30:00,7456.99,7620.0,7300.0,7333.96,19464.086071,446.8675349307494,HOLD,0
2018-05-27 05:30:00,7334.0,7400.0,7231.11,7338.99,18706.945515,427.0119967214102,HOLD,0
2018-05-28 05:30:00,7338.99,7437.0,7058.02,7099.0,27219.438963,423.58113981273806,HOLD,0
2018-05-29 05:30:00,7099.0,7540.0,7032.95,7461.29,39407.21183,429.54320125468536,HOLD,0
2018-05-30 05:30:00,7467.98,7569.0,7260.5,7375.96,32041.583623,420.89725830792213,HOLD,0
2018-05-31 05:30:00,7382.07,7699.0,7327.51,7485.01,30776.063102,417.3681684287848,HOLD,0
2018-06-01 05:30:00,7485.01,7608.55,7355.54,7521.01,28259.124078,405.6282992553002,HOLD,0
2018-06-02 05:30:00,7521.01,7697.33,7437.0,7640.03,26720.690219,395.249849308493,CLOSE,1
2018-06-03 05:30:00,7636.81,7786.69,7600.0,7714.26,27505.158951,380.35271721502926,HOLD,0
2018-06-04 05:30:00,7714.26,7760.52,7446.5,7487.0,32258.835115,375.6146659853843,HOLD,0
2018-06-05 05:30:00,7487.0,7679.49,7358.0,7625.0,31722.973384,371.7486184149997,HOLD,0
2018-06-06 05:30:00,7626.64,7699.0,7467.05,7658.84,27229.991898,361.7630028139283,HOLD,0
2018-06-07 05:30:00,7658.79,7765.0,7620.0,7691.08,25062.227202,346.279931184362,HOLD,0
2018-06-08 05:30:00,7691.08,7703.5,7531.0,7603.44,23396.804671,333.86707895690756,HOLD,0
2018-06-09 05:30:00,7603.44,7683.98,7450.0,7491.73,19339.885176,326.7322876028427,HOLD,0
2018-06-10 05:30:00,7491.73,7491.73,6622.81,6764.99,52342.020032,365.4599813454968,SHORT,-1
2018-06-11 05:30:00,6765.0,6922.0,6610.0,6872.0,34552.162303,361.6414112493899,HOLD,0
2018-06-12 05:30:00,6872.0,6890.51,6435.0,6530.0,36722.211191,368.34631044586206,HOLD,0
2018-06-13 05:30:00,6530.0,6627.6,6118.68,6292.78,46185.5181,378.3872882711577,HOLD,0
2018-06-14 05:30:00,6292.78,6720.0,6260.0,6635.98,44478.130837,384.2167676803607,HOLD,0
