datetime,open,high,low,close,volume,ATR,EMA200,ADX,DI+,DI-,donchian_high,donchian_low,signals,decision_signal,decision_target,decision_reason,trade_type,forced_liquidation
2018-02-27 05:30:00,10321.0000000000,10870.0000000000,10121.0000000000,10569.0400000000,30705.3851230000,1042.5688110743,12308.6788508259,18.9658294481,22.6024211125,19.9674676964,12244.0000000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-02-28 05:30:00,10584.3300000000,11098.0000000000,10300.0000000000,10326.7600000000,30800.9837820000,1025.0996102833,12288.9582652456,18.3079766706,22.9343239068,18.8571895856,11975.0200000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-03-01 05:30:00,10325.6400000000,11060.4100000000,10240.0000000000,10920.0000000000,25092.5539300000,1010.4789238345,12275.3367899695,17.6135531297,21.6042934323,18.1877314360,11786.0100000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-03-02 05:30:00,10923.3600000000,11200.0000000000,10770.0000000000,11039.0000000000,23910.7100900000,969.0161435606,12263.0349313628,17.1385660219,21.9484682839,17.6112465306,11786.0100000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-03-03 05:30:00,11038.9900000000,11544.0000000000,11015.0100000000,11464.4800000000,21287.1532800000,937.5857047349,12255.0891111503,17.1081646576,23.6846508801,16.9015077336,11786.0100000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-03-04 05:30:00,11464.4700000000,11565.0000000000,11050.0200000000,11515.0000000000,17295.9186530000,907.3995829681,12247.7250403925,17.1050824317,22.8898268814,16.2163521515,11786.0100000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-03-05 05:30:00,11515.0000000000,11710.0000000000,11415.0100000000,11454.0000000000,15144.2310630000,863.6560413275,12239.8272787966,17.2827504420,23.5306019781,15.8207199709,11786.0100000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-03-06 05:30:00,11455.0000000000,11455.0000000000,10555.4800000000,10716.4800000000,29515.5723630000,866.2177526613,12224.6695944305,16.0565229320,21.7852269987,21.7349327945,11786.0100000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-03-07 05:30:00,10716.4800000000,10899.0000000000,9389.3100000000,9910.0000000000,50647.6710800000,912.1800560426,12201.6380561774,16.2759489135,19.2098473487,28.2972328544,11786.0100000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-03-08 05:30:00,9910.0000000000,10099.0000000000,9060.0000000000,9271.6400000000,41109.4732260000,921.2386234681,12172.4838466632,16.7987214820,17.6623165968,28.5709462608,11786.0100000000,6000.0100000000,0,0,,HOLD,HOLD,False
2018-03-09 05:30:00,9267.0700000000,9410.0000000000,8329.0000000000,9227.0000000000,64112.2914070000,932.6501503633,12143.1755496815,17.9206370719,16.2000500014,31.8040378574,11786.0100000000,7150.0100000000,0,0,,HOLD,HOLD,False
2018-03-10 05:30:00,9230.0000000000,9490.0000000000,8667.0700000000,8770.2200000000,37180.0128570000,924.8129967659,12109.6138029185,18.8340862293,15.7882673595,29.7825869598,11786.0100000000,7572.0900000000,0,0,,HOLD,HOLD,False
2018-03-11 05:30:00,8770.2200000000,9740.0000000000,8450.0000000000,9533.5700000000,44325.9733860000,950.8977827112,12083.9815262725,19.2748576032,16.1362944849,26.8966272852,11786.0100000000,7726.5300000000,0,0,,HOLD,HOLD,False
2018-03-12 05:30:00,9533.5700000000,9888.8800000000,8780.0000000000,9131.3400000000,42230.7779300000,962.1822268032,12054.6020085982,19.4410538972,15.9131993651,24.6825284205,11786.0100000000,7726.5300000000,0,0,,HOLD,HOLD,False
2018-03-13 05:30:00,9131.3400000000,9474.0000000000,8823.0000000000,9150.0000000000,40191.4093580000,939.9549248887,12025.7004960748,19.5953790274,15.1259661150,23.4614724516,11786.0100000000,7726.5300000000,0,0,,HOLD,HOLD,False
2018-03-14 05:30:00,9151.9200000000,9333.7800000000,7900.2800000000,8170.0000000000,49708.0941080000,975.2081445395,11987.3353170094,20.6551827390,13.5378016844,27.7565247122,11786.0100000000,8053.0000000000,0,0,,HOLD,HOLD,False
2018-03-15 05:30:00,8184.0100000000,8430.0000000000,7650.0000000000,8240.9800000000,52291.0222770000,961.2647056438,11950.0581496760,21.8529708475,12.7531593829,28.0075266849,11786.0100000000,7900.2800000000,0,0,,HOLD,HOLD,False
2018-03-16 05:30:00,8240.9800000000,8611.6400000000,7900.0000000000,8260.0000000000,38815.4098930000,943.4343695264,11913.3411531618,22.6272144073,13.4412488591,26.4985053496,11786.0100000000,7650.0000000000,0,0,,HOLD,HOLD,False
2018-03-17 05:30:00,8260.0000000000,8348.6200000000,7721.9900000000,7824.8000000000,33110.2063290000,920.8054859888,11872.6591516378,23.5147394685,12.7878853560,26.5913000053,11786.0100000000,7650.0000000000,0,0,,HOLD,HOLD,False
2018-03-18 05:30:00,7824.0100000000,8317.4000000000,7322.0000000000,8189.9900000000,59488.2317110000,926.1336655610,11836.0156774921,24.7017255566,11.8061494764,27.6348102826,11786.0100000000,7650.0000000000,0,0,,HOLD,HOLD,False
2018-03-19 05:30:00,8189.0000000000,8705.2300000000,8088.4000000000,8600.0000000000,55297.0849420000,904.0405465924,11803.8165165221,25.0481528205,14.2950243186,26.2880012191,11786.0100000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-20 05:30:00,8595.0100000000,9050.0000000000,8280.0000000000,8909.9800000000,44865.1058350000,894.4662218358,11775.0221233228,24.7460167332,16.1692331805,24.6715734192,11786.0100000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-21 05:30:00,8909.9600000000,9177.0100000000,8750.6000000000,8885.0000000000,39972.4053710000,861.0336345618,11746.2656842848,24.2406710781,16.6509032044,23.7988511137,11786.0100000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-22 05:30:00,8884.8200000000,9100.0000000000,8465.1000000000,8722.9000000000,40617.5568090000,844.8812320931,11716.1824436452,24.1202359854,15.7571462696,24.9351147444,11786.0100000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-23 05:30:00,8720.0000000000,8909.0000000000,8269.0000000000,8898.0300000000,39991.0076660000,830.2468583722,11688.1411257979,24.2409155003,14.8895408347,25.2492662806,11710.0000000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-24 05:30:00,8898.0400000000,8999.9500000000,8491.0000000000,8546.8600000000,35466.6095720000,807.2970827742,11656.8845971830,24.1681967892,15.0237601614,24.1122610506,11710.0000000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-25 05:30:00,8531.2500000000,8669.8500000000,8365.7700000000,8470.1500000000,29001.7693160000,771.3530054332,11625.1757952210,24.2629336634,14.6007164078,24.5929510685,11710.0000000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-26 05:30:00,8470.1400000000,8514.8900000000,7831.0000000000,8134.2300000000,44033.5956600000,765.1056479022,11590.4400161641,24.9883015734,13.6685123790,28.0152727154,11710.0000000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-27 05:30:00,8134.2200000000,8215.9400000000,7730.0000000000,7795.5100000000,37427.6480500000,745.1652444806,11552.6795184908,25.7732593971,13.0318293504,27.6784594429,11710.0000000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-28 05:30:00,7795.5100000000,8109.0000000000,7728.0000000000,7949.3000000000,26401.3316700000,719.1534413034,11516.8249959188,26.5044668017,12.5386773929,26.6509126821,11710.0000000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-29 05:30:00,7949.3000000000,7975.0000000000,6941.1100000000,7090.1400000000,54620.9151250000,741.6346240675,11472.7783790440,27.9915476167,11.2901213800,31.5758337597,11710.0000000000,7322.0000000000,0,0,,HOLD,HOLD,False
2018-03-30 05:30:00,7090.1600000000,7292.4300000000,6600.1000000000,6840.2300000000,65306.0319760000,738.1128652055,11426.6833702973,29.6592064872,10.5337049542,32.7603315697,11710.0000000000,6941.1100000000,0,0,,HOLD,HOLD,False
2018-03-31 05:30:00,6840.2400000000,7223.3600000000,6777.0000000000,6923.9100000000,36868.5390870000,717.2733748337,11381.8796551699,31.2077468669,10.0654809520,31.3041322906,11710.0000000000,6600.1000000000,0,0,,HOLD,HOLD,False
2018-04-01 05:30:00,6922.0000000000,7049.9800000000,6430.0000000000,6813.0100000000,44071.4304630000,710.3238480599,11336.4182655662,32.9325351469,9.4379606518,32.8418679208,11710.0000000000,6600.1000000000,0,0,,HOLD,HOLD,False
2018-04-02 05:30:00,6813.0100000000,7125.0000000000,6765.0000000000,7056.0000000000,32123.5600720000,685.3007160556,11293.8270390432,34.3249179393,9.8657534722,31.6095546380,11710.0000000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-03 05:30:00,7063.9700000000,7520.0000000000,7011.0100000000,7405.2100000000,37787.3318110000,672.7070934802,11255.1343321870,34.5663557545,13.5267004636,29.9012174932,11710.0000000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-04 05:30:00,7405.2100000000,7427.5200000000,6707.0000000000,6796.1000000000,42227.1838040000,676.1223010887,11210.7658313693,35.1203333481,12.4970623343,30.8368655005,11710.0000000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-05 05:30:00,6796.1000000000,6902.0000000000,6566.6900000000,6770.7600000000,39029.7314600000,651.7785652967,11166.5866688681,35.7811148083,12.0378364786,31.2413730199,11455.0000000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-06 05:30:00,6770.0000000000,6850.0000000000,6500.0000000000,6601.3900000000,27455.0119200000,630.2229534898,11121.1618263918,36.4656687548,11.5603135475,30.7579295322,10899.0000000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-07 05:30:00,6601.3900000000,7070.0000000000,6586.2800000000,6895.8000000000,32269.5782670000,619.7584568119,11079.1184251341,36.4817846471,13.4513780594,29.0431801915,10099.0000000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-08 05:30:00,6895.8100000000,7109.1300000000,6880.0000000000,7018.0000000000,21427.6731650000,591.8564241825,11038.7092865756,36.3864208072,13.5516540375,28.2400578215,9888.8800000000,6430.0000000000,0,0,,HOLD,HOLD,False
2018-04-09 05:30:00,7011.0400000000,7185.0000000000,6611.0000000000,6782.7200000000,34078.2972060000,590.5809653123,10996.3611344704,36.6554827886,12.6108553187,29.5329985791,9888.8800000000,6430.0000000000,0,0,,HOLD,HOLD,False
