datetime,equity,cash,position,close,daily_return,drawdown
2022-05-08 05:30:00,1122.2989816824,2027.8236769928,-1,34038.4000000000,0.0351874431,-0.0577366856
2022-05-09 05:30:00,1227.7025946619,2027.8236769928,-1,30076.3100000000,0.0939175876,0.0000000000
2022-05-10 05:30:00,1202.6747267803,2027.8236769928,-1,31017.1000000000,-0.0203859371,-0.0203859371
2022-05-11 05:30:00,1253.5705863413,2027.8236769928,-1,29103.9400000000,0.0423188901,0.0000000000
2022-05-12 05:30:00,1255.5442653962,2027.8236769928,-1,29029.7500000000,0.0015744459,0.0000000000
2022-05-13 05:30:00,1248.6993048780,2027.8236769928,-1,29287.0500000000,-0.0054517875,-0.0054517875
2022-05-14 05:30:00,1227.4251250225,2027.8236769928,-1,30086.7400000000,-0.0170370719,-0.0223959769
2022-05-15 05:30:00,1194.3801669669,2027.8236769928,-1,31328.8900000000,-0.0269221783,-0.0487152067
2022-05-16 05:30:00,1233.0843883379,2027.8236769928,-1,29874.0100000000,0.0324052780,-0.0178885585
2022-05-17 05:30:00,1217.8961844550,2027.8236769928,-1,30444.9300000000,-0.0123172461,-0.0299854668
2022-05-18 05:30:00,1263.9090572180,2027.8236769928,-1,28715.3200000000,0.0377806199,0.0000000000
2022-05-19 05:30:00,1221.2401857653,2027.8236769928,-1,30319.2300000000,-0.0337594475,-0.0337594475
2022-05-20 05:30:00,1250.9882298799,2027.8236769928,-1,29201.0100000000,0.0243588808,-0.0102229090
2022-05-21 05:30:00,1244.4957595555,2027.8236769928,-1,29445.0600000000,-0.0051898732,-0.0153597267
2022-05-22 05:30:00,1221.9129764824,2027.8236769928,-1,30293.9400000000,-0.0181461310,-0.0332271381
2022-05-23 05:30:00,1253.4319845367,2027.8236769928,-1,29109.1500000000,0.0257948059,-0.0082894197
2022-05-24 05:30:00,1238.9218919777,2027.8236769928,-1,29654.5800000000,-0.0115762903,-0.0197697493
2022-05-25 05:30:00,1241.9128710335,2027.8236769928,-1,29542.1500000000,0.0024141789,-0.0174032982
2022-05-26 05:30:00,1250.9791848485,2027.8236769928,-1,29201.3500000000,0.0073002817,-0.0102300654
2022-05-27 05:30:00,1266.1841486425,2027.8236769928,-1,28629.8000000000,0.0121544499,0.0000000000
2022-05-28 05:30:00,1255.5022326033,2027.8236769928,-1,29031.3300000000,-0.0084363053,-0.0084363053
2022-05-29 05:30:00,1243.8828256638,2027.8236769928,-1,29468.1000000000,-0.0092547880,-0.0176130170
2022-05-30 05:30:00,1183.5971594005,2027.8236769928,-1,31734.2200000000,-0.0484657116,-0.0652251012
2022-05-31 05:30:00,1182.3305531947,1182.3305531947,0,31801.0400000000,-0.0010701329,-0.0662254345
2022-06-01 05:30:00,1182.3305531947,1182.3305531947,0,29805.8300000000,0.0000000000,-0.0662254345
2022-06-02 05:30:00,1182.3305531947,1182.3305531947,0,30452.6200000000,0.0000000000,-0.0662254345
2022-06-03 05:30:00,1182.3305531947,1182.3305531947,0,29700.2100000000,0.0000000000,-0.0662254345
2022-06-04 05:30:00,1182.3305531947,1182.3305531947,0,29864.0400000000,0.0000000000,-0.0662254345
2022-06-05 05:30:00,1182.3305531947,1182.3305531947,0,29919.2100000000,0.0000000000,-0.0662254345
2022-06-06 05:30:00,1182.3305531947,1182.3305531947,0,31373.1000000000,0.0000000000,-0.0662254345
2022-06-07 05:30:00,1182.3305531947,1182.3305531947,0,31125.3300000000,0.0000000000,-0.0662254345
